Time,bcglpid01,bcglpiw01,bcocpl01,bcocpl02,bcocpl41,bcocpl42,bcpxkv01,bcpxkv02,bcpxkv03,bcrepo01
2022-01-01T00:00:00+07:00,0,0,0,0.03,0,0,0,0,0,0
2022-01-01T00:20:00+07:00,0.043333333,0,0,0,0.035,0,0.055,0.0025,0,0.02
2022-01-01T00:40:00+07:00,0.008333333,0,0,0,0,0,0.01,0.015,0,0
2022-01-01T01:00:00+07:00,0,0,0,0,0,0,0,0,0.0225,0
2022-01-01T01:20:00+07:00,0,0,0,0,0,0,0,0,0.005,0
2022-01-01T01:40:00+07:00,0,0,0,0,0,0,0,0.0025,0,0.025
2022-01-01T02:00:00+07:00,0,0,0,0,0,0.01,0,0.0025,0.005,0.01
2022-01-01T02:20:00+07:00,0,0,0,0,0,0,0.0025,0,0,0.03
2022-01-01T02:40:00+07:00,0,0,0.025,0,0.005,0,0.0225,0,0.005,0
2022-01-01T03:00:00+07:00,0,0,0.005,0,0.01,0,0,0.01,0.0325,0
2022-01-01T03:20:00+07:00,0.003333333,0,0,0,0.005,0,0,0,0.0625,0.03
2022-01-01T03:40:00+07:00,0,0,0,0,0.03,0,0,0.0025,0,0.315
2022-01-01T04:00:00+07:00,0,0,0,0,0,0,0.005,0,0,0.025
2022-01-01T04:20:00+07:00,0,0,0,0,0,0,0.0075,0,0.0225,0
2022-01-01T04:40:00+07:00,0,0,0,0,0,0,0.035,0,0.0325,0.04
2022-01-01T05:00:00+07:00,0,0,0,0,0,0.005,0.01,0,0,0.01
2022-01-01T05:20:00+07:00,0,0,0.005,0.04,0,0,0,0,0,0
2022-01-01T05:40:00+07:00,0,0,0,0,0,0,0.005,0,0,0
2022-01-01T06:00:00+07:00,0,0,0,0,0,0,0.0475,0.0075,0.0175,0.03
2022-01-01T06:20:00+07:00,0,0,0,0,0,0,0.03,0.0025,0.01,0
2022-01-01T06:40:00+07:00,0.006666667,0,0.03,0,0,0,0,0,0,0.01
2022-01-01T07:00:00+07:00,0.006666667,0,0,0,0,0,0.005,0.04,0,0
2022-01-01T07:20:00+07:00,0,0,0.04,0,0,0.095,0.02,0.0025,0,0
2022-01-01T07:40:00+07:00,0,0.005,0.02,0.005,0,0.035,0.01,0.0225,0.0025,0
2022-01-01T08:00:00+07:00,0,0,0,0,0,0,0.005,0.0425,0,0.025
2022-01-01T08:20:00+07:00,0,0,0.025,0,0,0,0,0,0.0125,0.01
2022-01-01T08:40:00+07:00,0,0,0.025,0,0,0,0.07,0.0025,0,0.015
2022-01-01T09:00:00+07:00,0,0,0,0,0.005,0,0.0125,0,0.0025,0.02
2022-01-01T09:20:00+07:00,0,0,0,0,0,0,0.0075,0,0,0.01
2022-01-01T09:40:00+07:00,0,0,0,0,0,0,0.0075,0.005,0,0.04
2022-01-01T10:00:00+07:00,0,0,0,0.025,0.005,0,0,0.005,0.005,0.01
2022-01-01T10:20:00+07:00,0,0,0,0.005,0,0,0,0,0.0025,0
2022-01-01T10:40:00+07:00,0,0,0,0,0,0,0.0025,0,0.005,0.065
2022-01-01T11:00:00+07:00,0,0,0.035,0,0,0,0,0.0075,0.0075,0
2022-01-01T11:20:00+07:00,0,0,0,0,0,0,0,0,0.02,0.04
2022-01-01T11:40:00+07:00,0,0,0,0,0,0,0.0175,0.0175,0.0375,0
2022-01-01T12:00:00+07:00,0,0,0.035,0,0,0,0.0925,0.0025,0,0.045
